,OCC_CODE,O_GROUP,OCC_TITLE,TOT_EMP,Mean Annual Salary,Median Annual Salary,Entry level education,Work Experience,Training on Job,16 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 years and over,Median age,Women,White,Black or African American,Asian,Hispanic or Latino,Employement change in 10 years,Education weight,Experience weight,Training weight,Prestige,popularity
20,11-3121,detailed,human resources managers,156600,134580,121220,Bachelor's degree,5 years or more,None,0.3484320557491289,0.6968641114982579,21.254355400696863,28.9198606271777,25.78397212543554,18.81533101045296,4.878048780487805,45.1,76.8,81.0,12.0,4.9,14.0,9.2,3.0,3.0,1.0,1211220.0,4323726218257.8384
21,11-3131,detailed,training and development managers,38710,125920,115640,Bachelor's degree,5 years or more,None,0.0,0.0,36.53846153846154,36.53846153846154,13.461538461538462,13.461538461538462,1.9230769230769231,39.0,55.8,85.4,9.2,0.2,10.1,10.7,3.0,3.0,1.0,1133280.0,1905688535692.3076
22,11-9000,minor,other management occupations,2569880,106910,95180,No formal educational credential,None,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,9.2,1.0,1.0,1.0,106910.0,88314230365115.78
23,11-9013,detailed,"farmers, ranchers, and other agricultural managers",5670,76810,68090,High school diploma or equivalent,5 years or more,None,0.2219755826859045,2.3307436182019976,10.099889012208656,14.872364039955604,16.759156492785795,22.86348501664817,32.85238623751388,56.8,25.1,96.3,0.7,0.8,4.3,-0.7,2.0,3.0,1.0,460860.0,-3857260095.4495006
24,11-9021,detailed,construction managers,285640,107260,97180,Bachelor's degree,None,Moderate-term on-the-job training,0.10351966873706,2.587991718426501,18.012422360248447,26.60455486542443,25.56935817805383,20.28985507246377,6.728778467908903,46.1,8.4,91.4,3.3,2.9,14.5,11.5,3.0,1.0,4.5,1448010.0,7294701523809.524
25,11-9030,broad,education and childcare administrators,493350,101160,93470,No formal educational credential,None,None,0.3164556962025316,0.7383966244725738,15.50632911392405,28.059071729957807,31.223628691983123,18.565400843881857,5.69620253164557,47.0,66.5,79.5,14.3,3.3,12.0,8.5,1.0,1.0,1.0,101160.0,7025450756012.658
26,11-9031,detailed,"education and childcare administrators, preschool and daycare",46410,54940,49160,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,11.4,3.0,2.0,1.0,329640.0,1015586132191.171
27,11-9032,detailed,"education administrators, kindergarten through secondary",262480,103010,98490,Master's degree,5 years or more,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,7.8,4.5,3.0,1.0,1390635.0,7368547616972.324
28,11-9033,detailed,"education administrators, postsecondary",140880,115200,97500,Master's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,7.5,4.5,2.0,1.0,1036800.0,4252798171703.2666
29,11-9039,detailed,"education administrators, all other",43580,93830,87580,Bachelor's degree,Less than 5 years,None,3.568592705232403,8.834413006355405,22.536092145723664,21.23373975639143,20.107977521544917,17.0949080106322,6.597297802740213,26.74048913043478,28.98967391304348,49.62635869565217,7.212228260869565,3.900951086956522,10.468342391304349,12.6,3.0,2.0,1.0,562980.0,1800160278261.004
